ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
150797,202510,578,313,265,476692.09,402273.97,878966.06
150800,202510,2015,1180,835,1794337.4,1267532.59,3061869.99
150803,202510,485,407,78,617862.14,118404,736266.14
150805,202510,309,214,95,324859.09,144210.33,469069.42
150808,202510,1391,693,698,1055028.26,1059568.03,2114596.29
150810,202510,4088,2894,1194,4399405.37,1814038.78,6213444.15
150812,202510,655,338,317,513132.87,481226.69,994359.56
150815,202510,1822,1230,592,1867198.71,898666.31,2765865.02
150820,202510,2273,1423,850,2163223.3,1290316.34,3453539.64
150830,202510,777,604,173,916903.57,262616.85,1179520.42
150835,202510,396,290,106,440228.22,160908.59,601136.81
150840,202510,1850,1073,777,1631908.29,1179506.55,2811414.84
160005,202510,72,50,22,75911.37,33399.9,109311.27
160010,202510,288,192,96,292989.71,145729.7,438719.41
160015,202510,265,187,78,283887.2,118407.32,402294.52
160020,202510,184,98,86,148766.5,130548.63,279315.13
160021,202510,79,49,30,74385.58,45541.11,119926.69
160023,202510,114,83,31,126003.69,47058.52,173062.21
160025,202510,57,35,22,53132.45,33396.9,86529.35
160027,202510,1884,1125,759,1709382.31,1152171.65,2861553.96
160030,202510,23820,13758,10062,20922171.75,15283516.12,36205687.87
160040,202510,434,344,90,522262.98,136632.12,658895.10
160050,202510,1308,590,718,898695.66,1089937.88,1988633.54
160053,202510,472,311,161,473663.21,244410.18,718073.39
160055,202510,44,28,16,42508.49,24289.58,66798.07
160060,202510,9003,5633,3370,8565166.06,5118841.23,13684007.29
160070,202510,308,212,96,321831.36,145728.8,467560.16
160080,202510,225,130,95,197343.87,144210.4,341554.27
170025,202510,26,20,6,30361.13,9108,39469.13
170030,202510,188,157,31,238334.8,47058,285392.8
170035,202510,225,128,97,194312.21,147246.4,341558.61
170040,202510,203,157,46,238327.9,69828,308155.9
170070,202510,412,284,128,431120.47,194304.34,625424.81
170100,202510,415,316,99,481218.76,150282.44,631501.20
170105,202510,54,49,5,74384.91,7590,81974.91
170110,202510,121,84,37,127514.18,56166.96,183681.14
170130,202510,122,76,46,115369.76,69828,185197.76
170190,202510,132,85,47,129030.3,71346.9,200377.2
170200,202510,399,285,114,432634.32,173052,605686.32
170210,202510,9201,5789,3412,8803126.68,5179487.87,13982614.55
170215,202510,215,154,61,233790.38,92603.1,326393.48
170220,202510,1536,1161,375,1762448.27,569255.08,2331703.35
170230,202510,197,143,54,217083.65,81974.52,299058.17
170240,202510,519,397,122,602694.47,185202.25,787896.72
170255,202510,1172,929,243,1411776.7,370392.72,1782169.42
170270,202510,75,60,15,91081,22770,113851
170290,202510,206,148,58,226189.28,88044.4,314233.68
170300,202510,149,111,38,170019.67,57684.4,227704.07
170305,202510,81,57,24,86527.35,36432,122959.35
170307,202510,69,53,16,80457.28,24290.37,104747.65
170310,202510,168,122,46,185203.78,69828,255031.78
170320,202510,75,56,19,85011.02,28842,113853.02
170330,202510,52,45,7,68312.64,10626.1,78938.74
170360,202510,47,32,15,48578.55,22771.63,71350.18
170370,202510,93,64,29,97157.8,44022,141179.8
170380,202510,124,98,26,148766.34,39468,188234.34
170382,202510,50,44,6,66792.84,9108,75900.84
170384,202510,188,151,37,229220.38,56166.4,285386.78
170386,202510,94,51,43,77419.01,65274.97,142693.98
170388,202510,58,38,20,57688.85,30360,88048.85
170389,202510,43,31,12,47060.15,18216,65276.15
170390,202510,107,67,40,101708.02,60720.94,162428.96
170410,202510,32,28,4,42507.08,6072,48579.08
170460,202510,17,10,7,15181.53,10626.92,25808.45
170510,202510,36,29,7,44024.61,10626,54650.61
170550,202510,2015,1312,703,1993214.72,1068685.66,3061900.38
170555,202510,155,119,36,182167.91,54649,236816.91
170560,202510,107,84,23,127513.27,34914,162427.27
170600,202510,52,29,23,44023.02,34914.13,78937.15
170610,202510,244,152,92,230744.6,139656.25,370400.85
170625,202510,42,28,14,42504.4,21252,63756.4
170650,202510,134,105,29,159392.69,44022.2,203414.89
170700,202510,743,554,189,841011.81,286904.12,1127915.93
170710,202510,160,101,59,153325.67,89566.48,242892.15
170720,202510,147,113,34,171534.2,51612,223146.2
170730,202510,158,103,55,156359.77,83490,239849.77
170740,202510,105,81,24,122959.81,36432,159391.81
170755,202510,56,35,21,53131.32,31878.66,85009.98
170765,202510,145,93,52,141177.32,78936.29,220113.61
170770,202510,220,162,58,245922.62,88045.73,333968.35
170820,202510,727,513,214,780275.22,324854.65,1105129.87
170825,202510,27,20,7,30364.85,10626,40990.85
170830,202510,107,81,26,122959.57,39468.24,162427.81
170900,202510,252,204,48,309675.01,72864.67,382539.68
170930,202510,1349,841,508,1276682.59,771156.02,2047838.61
170950,202510,4102,2270,1832,3453240.76,2782522.2,6235762.96
170980,202510,19,13,6,19735.46,9108.62,28844.08
171050,202510,181,142,39,215558.16,59202.2,274760.36
171070,202510,95,80,15,121444.99,22770.6,144215.59
171090,202510,71,59,12,89562,18216,107778
171110,202510,32,27,5,40989.17,7590,48579.17
171150,202510,65,50,15,75901.47,22770,98671.47
171180,202510,33,23,10,34914.82,15180.2,50095.02
171190,202510,278,171,107,259580.87,162426.5,422007.37
171195,202510,71,62,9,94117.67,13662,107779.67
171200,202510,40,26,14,39469.69,22770,62239.69
171215,202510,16,12,4,18216,6072,24288
171240,202510,76,57,19,88045.42,28842,116887.42
171245,202510,69,60,9,91083.92,13662,104745.92
171250,202510,101,66,35,100189.03,53130,153319.03
171270,202510,16,14,2,21253.18,3036.12,24289.30
171280,202510,71,57,14,86530.89,21252,107782.89
171320,202510,1260,805,455,1222031.5,690692.44,1912723.94
171330,202510,548,332,216,503981.02,327888.21,831869.23
171360,202510,161,126,35,191271.26,53130,244401.26
171370,202510,49,33,16,50095.92,24288.32,74384.24
171380,202510,160,139,21,211010.98,31878,242888.98
171395,202510,66,51,15,77420.63,22770,100190.63
171420,202510,302,212,90,321818.17,136620,458438.17
171430,202510,98,83,15,125994.2,22770,148764.2
171488,202510,312,213,99,323337.34,150282,473619.34
171500,202510,87,56,31,85008,47058,132066
171510,202510,105,73,32,110814.75,48576.57,159391.32
171515,202510,53,43,10,65277.43,15180,80457.43
171525,202510,36,31,5,47058.91,7590.18,54649.09
171550,202510,16,14,2,21254.17,3036,24290.17
171570,202510,73,47,26,71347.08,39468.1,110815.18
171575,202510,269,199,70,302086,106260.6,408346.6
171610,202510,2472,1399,1073,2123727.15,1628823.63,3752550.78
171620,202510,244,190,54,288425.92,81973.01,370398.93
171630,202510,76,50,26,75902.58,39468.25,115370.83
171650,202510,404,294,110,446312.33,166983.3,613295.63
171660,202510,293,183,110,277804.4,166981.66,444786.06
171665,202510,121,89,32,135107.62,48576.33,183683.95
171670,202510,541,368,173,560167.59,262617.67,822785.26
171700,202510,73,62,11,94117.76,16698,110815.76
171720,202510,35,18,17,27325.7,25806.76,53132.46
171750,202510,144,85,59,129034.98,89562,218596.98
171780,202510,106,84,22,127513.02,33396,160909.02
171790,202510,131,108,23,163944.66,34914,198858.66
171800,202510,44,37,7,56166.6,10626,66792.6
171820,202510,2617,1658,959,2518461.96,1455772.43,3974234.39
171830,202510,50,42,8,63758.62,12144.96,75903.58
171840,202510,51,37,14,56167.79,21252,77419.79
171845,202510,42,32,10,48577.45,15180,63757.45
171850,202510,59,49,10,74382.8,15180.33,89563.13
171855,202510,87,72,15,109297.84,22770,132067.84
171865,202510,2,1,1,1518,1518,3036
171870,202510,56,45,11,68313.08,16698.62,85011.70
171875,202510,114,87,27,132068.24,40986,173054.24
171880,202510,62,45,17,68314.18,25806,94120.18
171884,202510,85,61,24,92599.36,36432,129031.36
171886,202510,188,110,78,166986.05,118405.26,285391.31
171888,202510,33,28,5,42508.89,7590.4,50099.29
171889,202510,16,13,3,21252,4554,25806
171890,202510,37,33,4,50095.97,6072,56167.97
171900,202510,32,25,7,37953.62,10626,48579.62
172000,202510,50,48,2,72865.75,3036,75901.75
172010,202510,48,42,6,63763.46,9108.86,72872.32
172015,202510,25,21,4,31879.64,6072,37951.64
172020,202510,157,115,42,174578.2,63757.33,238335.53
172025,202510,42,30,12,45541.05,18216,63757.05
172030,202510,81,59,22,89565.11,33396,122961.11
172049,202510,108,80,28,122960.77,42504,165464.77
172065,202510,153,113,40,171540.96,60720.93,232261.89
172080,202510,194,138,56,209492.65,85008.37,294501.02
172085,202510,28,20,8,30361.8,12144,42505.8
172090,202510,566,406,160,616317.53,244399.7,860717.23
172093,202510,26,25,1,37950.9,1518,39468.9
172097,202510,29,22,7,34914,10626,45540
172100,202510,9094,5912,3182,8988468.54,4830338.66,13818807.20
172110,202510,122,92,30,139665.46,45540.2,185205.66
172120,202510,2131,1823,308,2772116.85,467547.09,3239663.94
172125,202510,7,7,0,10626.89,,10626.89
172130,202510,37,27,10,40986.99,15180,56166.99
172208,202510,262,189,73,286912.08,110815.78,397727.86
172210,202510,409,240,169,364348.09,258067.28,622415.37
210005,202510,3930,2709,1221,4118668.51,1853496.91,5972165.42
210010,202510,139,112,27,170019.18,40986.74,211005.92
210015,202510,54,50,4,75907.01,6072,81979.01
210020,202510,529,358,171,543485.97,259589.4,803075.37
210030,202510,557,333,224,505566.49,343087.64,848654.13
210040,202510,132,118,14,179125.48,21252,200377.48
210043,202510,357,318,39,482746.89,59202.88,541949.77
210047,202510,578,438,140,666409.79,212520.4,878930.19
210050,202510,320,232,88,352182.34,133584.73,485767.07
210055,202510,8,6,2,9109.1,3036,12145.1
210060,202510,628,528,100,801544.35,151802.45,953346.80
210070,202510,590,487,103,743838.03,156355.57,900193.60
210080,202510,214,185,29,280836.49,44023.27,324859.76
210083,202510,9,8,1,12145.27,1518,13663.27
210087,202510,18,14,4,21253.7,6072,27325.7
210090,202510,625,509,116,774268.6,176100.78,950369.38
210095,202510,468,400,68,607228.56,103225.23,710453.79
210100,202510,932,765,167,1161293.22,253506.4,1414799.62
210110,202510,152,124,28,188240.53,42504,230744.53
210120,202510,5323,4538,785,6911768.66,1194678.08,8106446.74
210125,202510,296,234,62,355229.61,94116.6,449346.21
210130,202510,506,349,157,529815.27,238328.09,768143.36
210135,202510,35,33,2,50097.5,3036,53133.5
210140,202510,5791,4535,1256,6887388.69,1908150.36,8795539.05
210150,202510,469,341,128,517681.92,194307.88,711989.80
210160,202510,3861,3373,488,5131011.72,740791.86,5871803.58
210170,202510,1638,1352,286,2057017.96,435669.47,2492687.43
210173,202510,177,166,11,251997.25,16698,268695.25
210177,202510,263,192,71,291464.7,107778,399242.7
210180,202510,37,23,14,34915.02,21252.94,56167.96
210190,202510,557,431,126,654288.43,191268.78,845557.21
210193,202510,24,23,1,34915.51,1518,36433.51
210197,202510,84,69,15,104746.8,22770.2,127517.0
210200,202510,612,551,61,836492.41,92599.91,929092.32
210203,202510,314,250,64,379514.09,97154.73,476668.82
210207,202510,348,313,35,475146.57,53130,528276.57
210210,202510,815,769,46,1178010.85,69828.52,1247839.37
210215,202510,110,104,6,157879.2,9108,166987.2
210220,202510,428,385,43,587503.55,65274,652777.55
210230,202510,413,353,60,535869.71,91080.6,626950.31
210232,202510,1346,1068,278,1625841.38,422007.06,2047848.44
210235,202510,225,183,42,277811.6,63756.22,341567.82
210237,202510,98,67,31,101714.52,47059,148773.52
210240,202510,115,104,11,157877.43,16698.21,174575.64
210250,202510,228,207,21,314236.52,31878.33,346114.85
210255,202510,434,340,94,520708.71,142692.99,663401.70
210260,202510,441,347,94,528276.15,142692,670968.15
210270,202510,544,424,120,645212.42,182162.77,827375.19
210275,202510,169,145,24,221630.47,36432,258062.47
210280,202510,1252,879,373,1334390,566219.52,1900609.52
